raw_name,n_records,cluster_id,canonical_name,cluster_size,min_internal_score,chain_risk,violates_decision
Satur Specialty Coffee,5,1217,Satur Specialty Coffee,2,100.0,False,False
Satur Coffee,1,1217,Satur Specialty Coffee,2,100.0,False,False
"Shanghai Carmo Trading Co., LTD",1,1234,"Shanghai Carmo Trading Co., Ltd.",2,100.0,False,False
"Shanghai Carmo Trading Co., Ltd.",1,1234,"Shanghai Carmo Trading Co., Ltd.",2,100.0,False,False
Side By Each Brewing Co.,8,1239,Side By Each Brewing Co.,2,100.0,False,False
Side by Each Brewing Co.,2,1239,Side By Each Brewing Co.,2,100.0,False,False
Small Eyes Cafe,23,1256,Small Eyes Cafe,2,100.0,False,False
Small Eyes Café,1,1256,Small Eyes Cafe,2,100.0,False,False
Spyhouse Coffee Roasters,3,1272,Spyhouse Coffee Roasters,2,100.0,False,False
Spyhouse Coffee Roasting,2,1272,Spyhouse Coffee Roasters,2,100.0,False,False
Starbucks Coffee,53,1275,Starbucks Coffee,2,100.0,False,False
Starbucks,5,1275,Starbucks Coffee,2,100.0,False,False
States Coffee & Mercantile,10,1279,States Coffee & Mercantile,2,100.0,False,False
States Coffee,7,1279,States Coffee & Mercantile,2,100.0,False,False
Steady State Roasting Company,5,1282,Steady State Roasting Company,2,100.0,False,False
Steady State Roasting,2,1282,Steady State Roasting Company,2,100.0,False,False
The Supreme Bean,12,1308,The Supreme Bean,2,100.0,False,False
Supreme Bean Coffee Roasters,11,1308,The Supreme Bean,2,100.0,False,False
Taokas Coffee,1,1324,Taokas Coffee Studio,2,100.0,False,False
Taokas Coffee Studio,1,1324,Taokas Coffee Studio,2,100.0,False,False
Taster's Coffee,8,1327,Taster's Coffee,2,100.0,False,False
Taster’s Coffee,2,1327,Taster's Coffee,2,100.0,False,False
Terroir Coffee,66,1337,Terroir Coffee,2,100.0,False,False
Terroir Select Coffees,7,1337,Terroir Coffee,2,100.0,False,False
Thanksgiving Coffee,35,1341,Thanksgiving Coffee,2,100.0,False,False
Thanksgiving Coffee Company,7,1341,Thanksgiving Coffee,2,100.0,False,False
The Curve Coffee Roasting Co.,6,1351,The Curve Coffee Roasting Co.,2,100.0,False,False
The Curve Coffee Roasting,1,1351,The Curve Coffee Roasting Co.,2,100.0,False,False
The WestBean Coffee Roasters,19,1362,The WestBean Coffee Roasters,2,100.0,False,False
The WestBean Coffee Roasers,2,1362,The WestBean Coffee Roasters,2,100.0,False,False
Van Houtte Cafe,4,1412,Van Houtte Cafe,2,100.0,False,False
Van Houtte,1,1412,Van Houtte Cafe,2,100.0,False,False
Wallenford,1,1436,Wallenford Blue,2,100.0,False,False
Wallenford Blue,1,1436,Wallenford Blue,2,100.0,False,False
Water Avenue Coffee,9,1439,Water Avenue Coffee,2,100.0,False,False
Water Avenue Coffee Company,5,1439,Water Avenue Coffee,2,100.0,False,False
Wheelys Cafe Taiwan,2,1444,Wheelys Cafe Taiwan,2,100.0,False,False
Wheelys Café Taiwan,1,1444,Wheelys Cafe Taiwan,2,100.0,False,False
Willoughby's Coffee & Tea,62,1459,Willoughby's Coffee & Tea,2,100.0,False,False
Willoughby's Coffee and Tea,1,1459,Willoughby's Coffee & Tea,2,100.0,False,False
Wolfgang Puck Coffee,2,1461,Wolfgang Puck Coffee,2,100.0,False,False
Wolfgang Puck European Style Coffee,1,1461,Wolfgang Puck Coffee,2,100.0,False,False
Yo el Rey Roasting,2,1478,Yo el Rey Roasting,2,100.0,False,False
Yo El Rey Roasting,1,1478,Yo el Rey Roasting,2,100.0,False,False
Yuban,9,1481,Yuban,2,100.0,False,False
Yuban Coffee Company,1,1481,Yuban,2,100.0,False,False
modcup coffee,31,1494,modcup coffee,2,100.0,False,False
modcup,14,1494,modcup coffee,2,100.0,False,False
1951 Coffee Company,1,0,1951 Coffee Company,1,100.0,False,False
3-19 Coffee,1,2,3-19 Coffee,1,100.0,False,False
4 Plus Coffee,1,3,4 Plus Coffee,1,100.0,False,False
4-Arts Zero Defects Coffees,1,4,4-Arts Zero Defects Coffees,1,100.0,False,False
421 Brew House,2,5,421 Brew House,1,100.0,False,False
709 Boutique Coffee,1,7,709 Boutique Coffee,1,100.0,False,False
9 Bar Cafe,1,8,9 Bar Cafe,1,100.0,False,False
94 Fresh Coffee,9,9,94 Fresh Coffee,1,100.0,False,False
9612 Coffee Room,1,10,9612 Coffee Room,1,100.0,False,False
A Little Happiness,1,11,A Little Happiness,1,100.0,False,False
A'Roma Roasters,2,13,A'Roma Roasters,1,100.0,False,False
A.R.C.,12,14,A.R.C.,1,100.0,False,False
AHRIRE Roasting,7,15,AHRIRE Roasting,1,100.0,False,False
AKA Coffee Roasters,2,16,AKA Coffee Roasters,1,100.0,False,False
AOI Coffee,1,17,AOI Coffee,1,100.0,False,False
